key,name,city,state,country,lat,long,vip
00M,Thigpen,Bay Springs,MS,USA,31.95,-89.23,False
00R,Livingston Municipal,Livingston,TX,USA,30.69,-95.02,False
00V,Meadow Lake,Colorado Springs,CO,USA,38.95,-104.57,False
01G,Perry-Warsaw,Perry,NY,USA,42.74,-78.05,False
01J,Hilliard Airpark,Hilliard,FL,USA,30.69,-81.91,False
01M,Tishomingo County,Belmont,MS,USA,34.49,-88.20,False
02A,Gragg-Wade,Clanton,AL,USA,32.85,-86.61,False
02C,Capitol,Brookfield,WI,USA,43.09,-88.18,False
02G,Columbiana County,East Liverpool,OH,USA,40.67,-80.64,False
03D,Memphis Memorial,Memphis,MO,USA,40.45,-92.23,False
04M,Calhoun County,Pittsboro,MS,USA,33.93,-89.34,False
04Y,Hawley Municipal,Hawley,MN,USA,46.88,-96.35,False
05C,Griffith-Merrillville,Griffith,IN,USA,41.52,-87.40,False
05F,Gatesville - City/County,Gatesville,TX,USA,31.42,-97.80,False
05U,Eureka,Eureka,NV,USA,39.60,-116.01,False
06A,Moton  Municipal,Tuskegee,AL,USA,32.46,-85.68,False
06C,Schaumburg,Chicago/Schaumburg,IL,USA,41.99,-88.10,False
06D,Rolla Municipal,Rolla,ND,USA,48.88,-99.62,False
06M,Eupora Municipal,Eupora,MS,USA,33.53,-89.31,False
06N,Randall,Middletown,NY,USA,41.43,-74.39,False
06U,Jackpot/Hayden,Jackpot,NV,USA,41.98,-114.66,False
07C,Dekalb County,Auburn,IN,USA,41.31,-85.06,False
07F,Gladewater Municipal,Gladewater,TX,USA,32.53,-94.97,False
07G,Fitch H Beach,Charlotte,MI,USA,42.57,-84.81,False
07K,Central City Municipal,Central City,NE,USA,41.12,-98.05,False
08A,Wetumpka Municipal,Wetumpka,AL,USA,32.53,-86.33,False
08D,Stanley Municipal,Stanley,ND,USA,48.30,-102.41,False
08K,Harvard State,Harvard,NE,USA,40.65,-98.08,False
08M,Carthage-Leake County,Carthage,MS,USA,32.76,-89.53,False
09A,Butler-Choctaw County,Butler,AL,USA,32.12,-88.13,False
09J,Jekyll Island,Jekyll Island,GA,USA,31.07,-81.43,False
09K,Sargent Municipal,Sargent,NE,USA,41.64,-99.34,False
09M,Charleston Municipal,Charleston,MS,USA,33.99,-90.08,False
09W,South Capitol Street,Washington,DC,USA,38.87,-77.01,False
0A3,Smithville Municipal,Smithville,TN,USA,35.99,-85.81,False
0A8,Bibb County,Centreville,AL,USA,32.94,-87.09,False
0A9,Elizabethton Municipal,Elizabethton,TN,USA,36.37,-82.17,False
0AK,Pilot Station,Pilot Station,AK,USA,61.93,-162.89,False
0B1,Col. Dyke,Bethel,ME,USA,44.43,-70.81,False
0B4,Hartington Municipal,Hartington,NE,USA,42.60,-97.25,False
0B5,Turners Falls,Montague,MA,USA,42.59,-72.52,False
0B7,Warren-Sugar Bush,Warren,VT,USA,44.12,-72.83,False
0B8,Elizabeth,Fishers Island,NY,USA,41.25,-72.03,False
0C0,Dacy,Chicago/Harvard,IL,USA,42.40,-88.63,False
0C4,Pender Municipal,Pender,NE,USA,42.11,-96.73,False
0D1,South Haven Municipal,South Haven,MI,USA,42.35,-86.26,False
0D8,Gettysburg Municipal,Gettysburg,SD,USA,44.99,-99.95,False
0E0,Moriarty,Moriarty,NM,USA,34.99,-106.01,False
0E8,Crownpoint,Crownpoint,NM,USA,35.72,-108.20,False
0F2,Bowie Municipal,Bowie,TX,USA,33.60,-97.78,False
0F4,Loup City Municipal,Loup City,NE,USA,41.29,-98.99,False
0F7,Fountainhead Lodge Airpark,Eufaula,OK,USA,35.39,-95.60,False
0F8,William R Pogue Municipal,Sand Springs,OK,USA,36.18,-96.15,False
0F9,Tishomingo Airpark,Tishomingo,OK,USA,34.20,-96.68,False
0G0,North Buffalo Suburban,Lockport,NY,USA,43.10,-78.70,False
0G3,Tecumseh Municipal,Tecumseh,NE,USA,40.40,-96.17,False
0G6,Williams County,Bryan,OH,USA,41.47,-84.51,False
0G7,Finger Lakes Regional,Seneca Falls,NY,USA,42.88,-76.78,False
0H1,Trego Wakeeney,Wakeeney,KS,USA,39.00,-99.89,False
0I8,Cynthiana-Harrison County,Cynthiana,KY,USA,38.37,-84.28,False
0J0,Abbeville Municipal,Abbeville,AL,USA,31.60,-85.24,False
0J4,Florala Municipal,Florala,AL,USA,31.04,-86.31,False
0J6,Headland Municipal,Headland,AL,USA,31.36,-85.31,False
0K7,Humboldt Municipal,Humboldt,IA,USA,42.74,-94.25,False
0L5,Goldfield,Goldfield,NV,USA,37.72,-117.24,False
0L7,Jean,Jean,NV,USA,35.77,-115.33,False
0L9,Echo Bay,Overton,NV,USA,36.31,-114.46,False
0M0,Dumas Municipal,Dumas,AR,USA,33.88,-91.53,False
0M1,Scott,Parsons,TN,USA,35.64,-88.13,False
0M4,Benton County,Camden,TN,USA,36.01,-88.12,False
0M5,Humphreys County,Waverly,TN,USA,36.12,-87.74,False
0M6,Panola County,Batesville,MS,USA,34.37,-89.90,False
0M8,Byerley,Lake Providence,LA,USA,32.83,-91.19,False
0O3,Calaveras Co-Maury Rasmussen,San Andreas,CA,USA,38.15,-120.65,False
0O4,Corning Municipal,Corning,CA,USA,39.94,-122.17,False
0O5,University,Davis,CA,USA,38.53,-121.79,False
0Q5,Shelter Cove,Shelter Cove,CA,USA,40.03,-124.07,False
0Q6,Shingletown,Shingletown,CA,USA,40.52,-121.82,False
0R0,Columbia-Marion County,Columbia,MS,USA,31.30,-89.81,False
0R1,Atmore Municipal,Atmore,AL,USA,31.02,-87.45,False
0R3,Abbeville Chris Crusta Memorial,Abbeville,LA,USA,29.98,-92.08,False
0R4,Concordia Parish,Vidalia,LA,USA,31.57,-91.50,False
0R5,David G Joyce,Winnfield,LA,USA,31.96,-92.66,False
0R7,Red River,Coushatta,LA,USA,31.99,-93.31,False
0S7,Dorothy Scott,Oroville,WA,USA,48.96,-119.41,False
0S9,Jefferson County International,Port Townsend,WA,USA,48.05,-122.80,False
0V2,Harriet Alexander,Salida,CO,USA,38.54,-106.05,False
0V3,Pioneer Village,Minden,NE,USA,40.51,-98.95,False
0V4,Brookneal/Campbell County,Brookneal,VA,USA,37.14,-79.02,False
0V6,Mission Sioux,Mission,SD,USA,43.31,-100.63,False
0V7,Kayenta,Kayenta,AZ,USA,36.71,-110.24,False
10C,Galt,Chicago/Greenwood/Wonderlake,IL,USA,42.40,-88.38,False
10D,Winsted Municipal,Winsted,MN,USA,44.95,-94.07,False
10G,Holmes County,Millersburg,OH,USA,40.54,-81.95,False
10N,Wallkill,Wallkill,NY,USA,41.63,-74.13,False
10U,Owyhee,Owyhee,NV,USA,41.95,-116.19,False
11A,Clayton Municipal,Clayton,AL,USA,31.88,-85.48,False
11D,Clarion Cty,Clarion,PA,USA,41.23,-79.44,False
11IS,Schaumburg Heliport,Chicago/Schaumburg,IL,USA,42.05,-88.05,False
11J,Early County,Blakely,GA,USA,31.40,-84.90,False
11R,Brenham Municipal,Brenham,TX,USA,30.22,-96.37,False
12C,Rochelle Municipal,Rochelle,IL,USA,41.89,-89.08,False
12D,Tower Municipal,Tower,MN,USA,47.82,-92.29,False
12J,Brewton Municipal,Brewton,AL,USA,31.05,-87.07,False
